ID,MKKCode,MKKParentCode,MKKTanim,MKKSeviye
9193,H6050000,H6000000,Anahtar Priz Montajı İşleri,2
9194,H6060000,H6000000,Armatür-Aplik Montajı İşleri,2
9195,H6070000,H6000000,Otomasyon Sistemi Montajı,2
9196,H6070100,H6070000,Telefon Santrali Sistemi Montajı,3
9197,H6070200,H6070000,Güvenlik - Alarm Sistemi Montajı (Kameralar dahil),3
9198,H6070300,H6070000,Seslendirme ve Anons Sistemi Montajı,3
9199,H6070400,H6070000,Bina Otomasyon Sistemi Montajı,3
9200,H6070500,H6070000,Diğer Otomasyon Sistemleri Montajı,3
9201,H6080000,H6000000,Otomasyon Harici Ekipmanların Montajı,2
9202,H6080100,H6080000,Beyaz Eşyaların Montajı,3
9203,H6080200,H6080000,"Ses ve Görüntüleme Sistemleri Montajı (Hoporlör, TV, Projeksiyon vb)",3
9204,H7000000,HK,Elektro-Mekanik İşler,1
9205,H7010000,H7000000,Yatay ve Dikey Taşıma Sistemi İşleri,2
9206,H7020000,H7000000,Havalandırma ve İklimlendirme Sitemi İşleri,2
9207,H7020100,H7020000,Chiller ve Kazan Dairesi Montajı İşleri,3
9208,H7020200,H7020000,VRV Dış ve İç Ünite Montajı İşleri,3
9209,H7020300,H7020000,Klima Montajı İşleri,3
9210,H7030000,H7000000,Pompa Montajı İşleri,2
9211,H7040000,H7000000,Giriş Güvenlik Sistemleri Montajı,2
9212,H8000000,HK,Peyzaj İşleri,1
9213,H8010000,H8000000,Hard Landscaping İşleri,2
9214,H8010100,H8010000,Çocuk Oyun Alanları Ekipmanları Montajı,3
9215,H8010200,H8010000,Bayrak Direği Montajı,3
9216,H8010300,H8010000,Çöp Tenekesi Yerleştirilmesi ve Montajı,3
9217,H8010400,H8010000,Bilgilendirme Tabelaları Montajı,3
9218,H8010500,H8010000,Piknik masası ve Bankların Montajı,3
9219,H8010600,H8010000,Hazır Süs Havuzu Montajı,3
9220,H8010700,H8010000,Çevre Aydınlatma Direkleri Montajı,3
9221,H8010800,H8010000,"Büst, Heykel vb Montajı",3
9222,H8020000,H8000000,Soft Landscaping İşleri,2
9223,H8020100,H8020000,"Bitkiler İçin Toprak Hazırlığı, Gübrelemesi ve Bakımı İşleri",3
9224,H8020200,H8020000,Bitkilendirme İşleri,3
9225,H9000000,HK,Mobilya Tefriş Dedarik İşleri,1
9226,H9010000,H9000000,Sabit Mobilya Montajı İşleri,2
9227,H9020000,H9000000,Hareketli Mobilya Montajı İşleri,2
