ID,MKKCode,MKKParentCode,MKKTanim,MKKSeviye
928,P08101000,P08100000,Tüm özel imalatlar,3
929,P08101001,P08101000,Yüzme havuzu inşaası,4
930,P08101002,P08101000,Akvaryum inşaası,4
931,P08101003,P08101000,"Buz pateni pisti, halı saha , tenis kortu vb spor sahaları inşaası",4
932,P08101004,P08101000,Prefabrik elemanlar,4
933,P08101005,P08101000,Kule inşaası,4
934,P08101006,P08101000,Radyasyon koruma vb özel amaçlı inşaalar,4
935,P09000000,MKK,MOBİLİZASYON,1
936,P09100000,P09000000,Mobilizasyon,2
937,P09101000,P09100000,Mobilizasyon,3
938,P09101001,P09101000,Prefabrik Binalar,4
939,P09101002,P09101000,Ofis ve Kamp Tefriş,4
940,P09101003,P09101000,"Ofis ve Kamp Sahası tüm İnşaat,Elektik ve Mekanik İşleri",4
941,P09101004,P09101000,Ofis ve Kamp Sahası - Utilities,4
942,P09101005,P09101000,Saha İşleri (Altyapı ve Düzeltme),4
943,P09101007,P09101000,Panik Odası,4
944,P09101099,P09101000,Diğerleri,4
945,P99000000,MKK,DİĞERLERİ,1
946,P99100000,P99000000,Direkt İmalat Giderlerine Paylaştırılacak Ortak Giderler,2
947,P99101000,P99100000,Sarf malzemeler ve sair malzemeler,3
948,P99101001,P99101000,Sarf Malzemeler ve Sair Malzemeler,4
949,P99101002,P99101000,Amortismana tabi olmayan el aletleri,4
950,P99101003,P99101000,"Tüpler, elektrodlar,kırıcı-delici-kesici uçlar gibi sarf malzemeleri",4
951,P99101099,P99101000,Diğerleri (iş güvenliği malzemeleri),4
952,P99102000,P99100000,"Maket, Mock-up vb giderler",3
953,P99102001,P99102000,Maket ve Mockup yaptırılması,4
957,MA,Root,MALZEME KIRILIMI,0
958,MA10010000,MA,Harçlı Malzemeler,1
959,MA10010100,MA10010000,Yapısal Beton Harçları,2
960,MA10010200,MA10010000,Asfalt Karışımları,2
961,MA10010300,MA10010000,Sıva ve Diğer Harçlar,2
962,MA10010400,MA10010000,Onarım Harçları,2
963,MA10010500,MA10010000,Yapıştırıcı Harçlar,2
964,MA10020000,MA,Metaller,1
965,MA10020100,MA10020000,Yapısal Demir Donatılar ve Profiller,2
966,MA10020200,MA10020000,Demir ve Çelik Profiller,2
967,MA10020300,MA10020000,Aluminium Profiller,2
968,MA10020400,MA10020000,Saclar,2
969,MA10020500,MA10020000,"Dübel, conta, askı çubukları, vb.",2
970,MA10020600,MA10020000,Ferforje ve Balasturadeler,2
971,MA10020700,MA10020000,Metal Asma Tavan Profilleri,2
972,MA10020800,MA10020000,Derz ve Baskı Profilleri,2
973,MA10020900,MA10020000,Kenar Profilleri,2
974,MA10021000,MA10020000,Kalıp ve İskele Ekipmanları,2
976,MA10030000,MA,"Yapı Blokları (Briket, Tuğla, Fibrobeton, vs.)",1
977,MA10030100,MA10030000,Tuğlalar,2
978,MA10030200,MA10030000,Kiremitler,2
979,MA10030300,MA10030000,Gazbeton Bloklar,2
980,MA10030400,MA10030000,Kesme Taş Bloklar,2
981,MA10030500,MA10030000,Briket ve Bims Bloklar,2
982,MA10030600,MA10030000,Asmolen Bloklar,2
983,MA10030700,MA10030000,Kilit Taşları,2
984,MA10030800,MA10030000,Bordürler,2
985,MA10030900,MA10030000,Alçıpan Paneller,2
986,MA10031000,MA10030000,Doğal Taş Bloklar,2
987,MA10040000,MA,Ahşap Malzemeler,1
988,MA10040100,MA10040000,"Plywood, OSB ve Sunta",2
989,MA10040200,MA10040000,Ahşap kirişler ve kalaslar,2
990,MA10040300,MA10040000,Lamine Parkeler,2
991,MA10040400,MA10040000,Ahşap Çıtalar ve Profiller,2
992,MA10040500,MA10040000,Masif ahşaplar,2
993,MA10050000,MA,"Plastik, Cam ve Kompozitler",1
994,MA10050100,MA10050000,PVC Profiller,2
995,MA10050200,MA10050000,Su Tutucu Bantlar,2
996,MA10050300,MA10050000,Membran ve Şilteler,2
997,MA10050400,MA10050000,EPS Levhalar,2
998,MA10050500,MA10050000,XPS Levhalar,2
999,MA10050600,MA10050000,Derz Profilleri,2
1000,MA10050700,MA10050000,Sandviç Paneller,2
1001,MA10050800,MA10050000,Fiberglass,2
1002,MA10050900,MA10050000,Cam ve Aynalar,2
1003,MA10051000,MA10050000,Lamineted Parkeler (Plastik),2
1004,MA10060000,MA,Kimyasallar,1
1005,MA10060100,MA10060000,Beton Katkıları,2
1006,MA10060200,MA10060000,Sürme izolasyon malzemeleri,2
1007,MA10060300,MA10060000,Boyalar,2
1008,MA10060400,MA10060000,Yüzey Sertleştiriciler,2
1009,MA10060500,MA10060000,Derz Dolguları,2
1010,MA10070000,MA,Kaplama Malzemeleri,1
1011,MA10070100,MA10070000,Mermer ve Granitler,2
1012,MA10070200,MA10070000,Seramik,2
1013,MA10070201,MA10070200,Islak Hacim Seramikleri,3
1014,MA10070202,MA10070200,Havuz Seramikleri,3
1015,MA10070203,MA10070200,Diğer Seramikler,3
1016,MA10070300,MA10070000,Karo Mozaik,2
1017,MA10080000,MA,Mobilyalar ve Aksesuarlar,1
1018,MA10080100,MA10080000,Hareketli Mobilyalar,2
1019,MA10080200,MA10080000,Sabit Mobilyalar,2
1020,MA10080300,MA10080000,Doğrama Aksesuarları (Kapı kolları vb.),2
1021,MA10080400,MA10080000,Aydınlatma armatürleri (lambalar dahil),2
1022,MA10080500,MA10080000,Elektrik Priz ve Anahtarları,2
1023,MA10090000,MA,Elektrik Malzemeleri,1
1024,MA10090100,MA10090000,Elektrik Boruları ve Kasa-Buatlar,2
1025,MA10090200,MA10090000,Elektrik Tavaları ve Aksesuarları,2
1026,MA10090300,MA10090000,Orta Gerilim Kabloları,2
1027,MA10090400,MA10090000,Alçak Gerilim Kabloları,2
1028,MA10090500,MA10090000,Zayıf Aklım ve Kontrol Kabloları,2
1029,MA10090600,MA10090000,Junction Malzemeleri,2
1030,MA10090700,MA10090000,"Şalt malzemeler (kontaktör, röle, otomat, sigorta,şalterler)",2
1031,MA10090800,MA10090000,Elektronik kontrol sistemleri,2
1032,MA10100000,MA,Mekanik Malzemeler,1
1033,MA10100100,MA10100000,Vitrifiyeler,2
1034,MA10100200,MA10100000,Armatürler,2
1035,MA10100300,MA10100000,Vanalar ve sair elemanlar,2
1036,MA10100400,MA10100000,Yangın söndürme sistemi aksesuarları,2
1037,MA10100500,MA10100000,Islak Hacim Aksesuarları,2
1038,MA10110000,MA,Elektro-Mekenaik Malzemeler,1
1039,MA10110100,MA10110000,"Havalandırma Sistemi Malzemeleri (VRV, HVAC)",2
1040,MA10110200,MA10110000,Taşıma Sistemleri,2
1041,MA10110300,MA10110000,"Pompalar, Hidroforlar",2
1042,MA10110400,MA10110000,Kalorifer Sistemi Malzemeleri,2
1043,MA10120000,MA,Tesisat Mazlemeleri (Altyapı ve Üstyapı),1
1044,MA10120100,MA10120000,Demir Borular ve Fittingleri,2
1045,MA10120200,MA10120000,PVC Borular ve Fittingleri,2
1046,MA10120300,MA10120000,PE Borular ve Fittingleri,2
1047,MA10120400,MA10120000,Beton Borular ve Fittingleri,2
1048,MA10120500,MA10120000,GRP Borular ve Fittingleri,2
1049,MA10120600,MA10120000,Bakır Borular ve Fittingleri,2
1050,MA10120700,MA10120000,Manholer,2
1051,MA10120800,MA10120000,Diğer Aksesuarlar,2
1052,MA10130000,MA,Bitkiler ve Bitki bakım ürünleri,1
